"ts_num","count","ts_date"
1559648400,39,2019-06-04 13:40:00
1559648700,37,2019-06-04 13:45:00
1559649000,40,2019-06-04 13:50:00
1559649300,50,2019-06-04 13:55:00
1559649600,65,2019-06-04 14:00:00
1559649900,60,2019-06-04 14:05:00
1559650200,54,2019-06-04 14:10:00
1559650500,70,2019-06-04 14:15:00
1559650800,63,2019-06-04 14:20:00
1559651100,66,2019-06-04 14:25:00
1559651400,67,2019-06-04 14:30:00
1559651700,73,2019-06-04 14:35:00
1559652000,63,2019-06-04 14:40:00
1559652300,63,2019-06-04 14:45:00
1559652600,56,2019-06-04 14:50:00
1559652900,66,2019-06-04 14:55:00
1559653200,78,2019-06-04 15:00:00
1559653500,73,2019-06-04 15:05:00
1559653800,58,2019-06-04 15:10:00
1559654100,59,2019-06-04 15:15:00
1559654400,48,2019-06-04 15:20:00
1559654700,63,2019-06-04 15:25:00
1559655000,72,2019-06-04 15:30:00
1559655300,53,2019-06-04 15:35:00
1559655600,62,2019-06-04 15:40:00
1559655900,52,2019-06-04 15:45:00
1559656200,60,2019-06-04 15:50:00
1559656500,56,2019-06-04 15:55:00
1559656800,46,2019-06-04 16:00:00
1559657100,43,2019-06-04 16:05:00
1559657400,49,2019-06-04 16:10:00
1559657700,55,2019-06-04 16:15:00
1559658000,65,2019-06-04 16:20:00
1559658300,58,2019-06-04 16:25:00
1559658600,46,2019-06-04 16:30:00
1559658900,53,2019-06-04 16:35:00
1559659200,66,2019-06-04 16:40:00
1559659500,47,2019-06-04 16:45:00
1559659800,53,2019-06-04 16:50:00
1559660100,45,2019-06-04 16:55:00
1559660400,42,2019-06-04 17:00:00
1559660700,50,2019-06-04 17:05:00
1559661000,48,2019-06-04 17:10:00
1559661300,54,2019-06-04 17:15:00
1559661600,47,2019-06-04 17:20:00
1559661900,53,2019-06-04 17:25:00
1559662200,39,2019-06-04 17:30:00
1559662500,57,2019-06-04 17:35:00
1559662800,54,2019-06-04 17:40:00
1559663100,42,2019-06-04 17:45:00
1559663400,46,2019-06-04 17:50:00
1559663700,40,2019-06-04 17:55:00
1559664300,1,2019-06-04 18:05:00
1559664900,2,2019-06-04 18:15:00
1559665200,1,2019-06-04 18:20:00
1559665800,2,2019-06-04 18:30:00
1559666400,1,2019-06-04 18:40:00
1559666700,1,2019-06-04 18:45:00
1559667000,2,2019-06-04 18:50:00
1559667300,1,2019-06-04 18:55:00
1559667600,23,2019-06-04 19:00:00
1559667900,39,2019-06-04 19:05:00
1559668200,17,2019-06-04 19:10:00
1559668500,27,2019-06-04 19:15:00
1559668800,27,2019-06-04 19:20:00
1559669100,28,2019-06-04 19:25:00
1559669400,35,2019-06-04 19:30:00
1559669700,33,2019-06-04 19:35:00
1559670000,27,2019-06-04 19:40:00
1559670300,24,2019-06-04 19:45:00
1559670600,25,2019-06-04 19:50:00
1559670900,35,2019-06-04 19:55:00
1559671200,84,2019-06-04 20:00:00
1559671500,69,2019-06-04 20:05:00
1559671800,71,2019-06-04 20:10:00
1559672100,87,2019-06-04 20:15:00
1559672400,76,2019-06-04 20:20:00
1559672700,70,2019-06-04 20:25:00
1559673000,81,2019-06-04 20:30:00
1559673300,71,2019-06-04 20:35:00
1559673600,87,2019-06-04 20:40:00
1559673900,64,2019-06-04 20:45:00
1559674200,78,2019-06-04 20:50:00
1559674500,75,2019-06-04 20:55:00
1559674800,53,2019-06-04 21:00:00
1559675100,50,2019-06-04 21:05:00
1559675400,48,2019-06-04 21:10:00
1559675700,53,2019-06-04 21:15:00
1559676000,47,2019-06-04 21:20:00
1559676300,59,2019-06-04 21:25:00
1559676600,49,2019-06-04 21:30:00
1559676900,64,2019-06-04 21:35:00
1559677200,54,2019-06-04 21:40:00
1559677500,55,2019-06-04 21:45:00
1559677800,58,2019-06-04 21:50:00
1559678100,63,2019-06-04 21:55:00
1559678400,31,2019-06-04 22:00:00
1559678700,30,2019-06-04 22:05:00
1559679000,29,2019-06-04 22:10:00
1559679300,40,2019-06-04 22:15:00
1559679600,40,2019-06-04 22:20:00
1559679900,32,2019-06-04 22:25:00
1559680200,48,2019-06-04 22:30:00
1559680500,29,2019-06-04 22:35:00
1559680800,28,2019-06-04 22:40:00
1559681100,36,2019-06-04 22:45:00
1559681400,49,2019-06-04 22:50:00
1559681700,43,2019-06-04 22:55:00
1559682000,33,2019-06-04 23:00:00
1559682300,27,2019-06-04 23:05:00
1559682600,27,2019-06-04 23:10:00
1559682900,31,2019-06-04 23:15:00
1559683200,27,2019-06-04 23:20:00
1559683500,34,2019-06-04 23:25:00
1559683800,25,2019-06-04 23:30:00
1559684100,30,2019-06-04 23:35:00
1559684400,29,2019-06-04 23:40:00
1559684700,34,2019-06-04 23:45:00
1559685000,23,2019-06-04 23:50:00
1559685300,40,2019-06-04 23:55:00
1559685600,29,2019-06-05 00:00:00
